"название";"дата";"время";" размер"
"kajongg-4.14.3p1.tgz";"25-Feb-2016";"02:17";"      3M"
"kakasi-2.3.4p0.tgz";"25-Feb-2016";"02:17";"    976K"
"kalgebra-4.14.3p1.tgz";"25-Feb-2016";"02:17";"    645K"
"kamailio-4.3.3.tgz";"25-Feb-2016";"02:17";"      7M"
"kamailio-carrierroute-4.3.3.tgz";"25-Feb-2016";"02:17";"    106K"
"kamailio-ldap-4.3.3.tgz";"25-Feb-2016";"02:17";"     58K"
"kamailio-mysql-4.3.3.tgz";"25-Feb-2016";"02:17";"     70K"
"kamailio-perl-4.3.3.tgz";"25-Feb-2016";"02:17";"     72K"
"kamailio-postgresql-4.3.3.tgz";"25-Feb-2016";"02:17";"     86K"
"kamailio-snmpstats-4.3.3.tgz";"25-Feb-2016";"02:17";"     90K"
"kamailio-xmlrpc-4.3.3.tgz";"25-Feb-2016";"02:17";"     56K"
"kamera-3.5.10p15.tgz";"25-Feb-2016";"02:17";"     83K"
"kamera-4.14.3p0.tgz";"25-Feb-2016";"02:17";"    209K"
"kanagram-4.14.3p2.tgz";"25-Feb-2016";"02:17";"      4M"
"kanatest-0.4.6p8.tgz";"25-Feb-2016";"02:17";"    155K"
"kanjipad-2.0.0p4.tgz";"25-Feb-2016";"02:17";"     34K"
"kanjips-19900310.tgz";"25-Feb-2016";"02:17";"      1M"
"kapman-4.14.3p2.tgz";"25-Feb-2016";"02:17";"      2M"
"kapptemplate-4.14.3p1.tgz";"25-Feb-2016";"02:17";"      1M"
"kasumi-2.5p4.tgz";"25-Feb-2016";"02:17";"     79K"
"kate-4.14.3p1.tgz";"25-Feb-2016";"02:17";"      8M"
"katomic-4.14.3p1.tgz";"25-Feb-2016";"02:17";"    718K"
"kbanner-2.tgz";"25-Feb-2016";"02:17";"    142K"
"kbiff-3.8p10.tgz";"25-Feb-2016";"02:17";"    277K"
"kbilliards-0.8.7bp13.tgz";"25-Feb-2016";"02:17";"      1M"
"kblackbox-4.14.3p1.tgz";"25-Feb-2016";"02:17";"    364K"
"kblocks-4.14.3p2.tgz";"25-Feb-2016";"02:17";"      1M"
"kbounce-4.14.3p2.tgz";"25-Feb-2016";"02:17";"      2M"
"kbreakout-4.14.3p1.tgz";"25-Feb-2016";"02:17";"      2M"
"kbruch-4.14.3p1.tgz";"25-Feb-2016";"02:17";"      1M"
"kc-2.3.2p1.tgz";"25-Feb-2016";"02:17";"     35K"
"kcachegrind-4.14.3p2.tgz";"25-Feb-2016";"02:17";"    597K"
"kcalc-4.14.3p0.tgz";"25-Feb-2016";"02:17";"    344K"
"kcgi-0.7.6.tgz";"25-Feb-2016";"02:17";"    183K"
"kcharselect-4.14.3p0.tgz";"25-Feb-2016";"02:17";"    148K"
"kcolorchooser-4.14.3p1.tgz";"25-Feb-2016";"02:17";"     71K"
"kcron-4.14.3p0.tgz";"25-Feb-2016";"02:17";"    327K"
"kdbg-1.2.5p11.tgz";"25-Feb-2016";"02:17";"    378K"
"kde-base-artwork-4.14.3.tgz";"25-Feb-2016";"02:17";"      7M"
"kde-baseapps-4.14.3p2.tgz";"25-Feb-2016";"02:17";"     10M"
"kde-dev-scripts-4.14.3.tgz";"25-Feb-2016";"02:17";"     78K"
"kde-dev-utils-4.14.3p1.tgz";"25-Feb-2016";"02:17";"    375K"
"kde-emoticons-3.5.10p0.tgz";"25-Feb-2016";"02:17";"     83K"
"kde-emoticons-4.14.3p1.tgz";"25-Feb-2016";"02:17";"     74K"
"kde-i18n-af-3.5.10p3.tgz";"25-Feb-2016";"02:17";"      1M"
"kde-i18n-ar-3.5.10p3.tgz";"25-Feb-2016";"02:17";"      2M"
"kde-i18n-az-3.5.10p3.tgz";"25-Feb-2016";"02:17";"    537K"
"kde-i18n-be-3.5.10p3.tgz";"25-Feb-2016";"02:17";"    824K"
"kde-i18n-bg-3.5.10p3.tgz";"25-Feb-2016";"02:17";"      3M"
"kde-i18n-bn-3.5.10p3.tgz";"25-Feb-2016";"02:17";"    871K"
"kde-i18n-br-3.5.10p3.tgz";"25-Feb-2016";"02:17";"      1M"
"kde-i18n-bs-3.5.10p3.tgz";"25-Feb-2016";"02:17";"      2M"
"kde-i18n-ca-3.5.10p3.tgz";"25-Feb-2016";"02:17";"      8M"
"kde-i18n-cs-3.5.10p3.tgz";"25-Feb-2016";"02:17";"      3M"
"kde-i18n-csb-3.5.10p3.tgz";"25-Feb-2016";"02:17";"    396K"
"kde-i18n-cy-3.5.10p3.tgz";"25-Feb-2016";"02:17";"      1M"
"kde-i18n-da-3.5.10p3.tgz";"25-Feb-2016";"02:17";"     12M"
"kde-i18n-de-3.5.10p3.tgz";"25-Feb-2016";"02:17";"     21M"
"kde-i18n-el-3.5.10p3.tgz";"25-Feb-2016";"02:17";"      3M"
"kde-i18n-en_GB-3.5.10p3.tgz";"25-Feb-2016";"02:17";"      5M"
"kde-i18n-eo-3.5.10p3.tgz";"25-Feb-2016";"02:17";"      1M"
"kde-i18n-es-3.5.10p3.tgz";"25-Feb-2016";"02:18";"     33M"
"kde-i18n-et-3.5.10p3.tgz";"25-Feb-2016";"02:18";"     10M"
"kde-i18n-eu-3.5.10p3.tgz";"25-Feb-2016";"02:17";"      3M"
"kde-i18n-fa-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-i18n-fi-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-fr-3.5.10p3.tgz";"25-Feb-2016";"02:18";"     19M"
"kde-i18n-fy-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      1M"
"kde-i18n-ga-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      1M"
"kde-i18n-gl-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-he-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-hi-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      1M"
"kde-i18n-hr-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      1M"
"kde-i18n-hu-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-i18n-is-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-it-3.5.10p3.tgz";"25-Feb-2016";"02:18";"     17M"
"kde-i18n-ja-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-i18n-kk-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-km-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-ko-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-lt-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      1M"
"kde-i18n-lv-3.5.10p3.tgz";"25-Feb-2016";"02:18";"    478K"
"kde-i18n-mk-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-mn-3.5.10p3.tgz";"25-Feb-2016";"02:18";"    486K"
"kde-i18n-ms-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-nb-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-nds-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-i18n-nl-3.5.10p3.tgz";"25-Feb-2016";"02:18";"     12M"
"kde-i18n-nn-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-pa-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      1M"
"kde-i18n-pl-3.5.10p3.tgz";"25-Feb-2016";"02:18";"     13M"
"kde-i18n-pt-3.5.10p3.tgz";"25-Feb-2016";"02:18";"     12M"
"kde-i18n-pt_BR-3.5.10p3.tgz";"25-Feb-2016";"02:18";"     13M"
"kde-i18n-ro-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-i18n-ru-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      7M"
"kde-i18n-rw-3.5.10p3.tgz";"25-Feb-2016";"02:18";"    912K"
"kde-i18n-se-3.5.10p3.tgz";"25-Feb-2016";"02:18";"    739K"
"kde-i18n-sk-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      6M"
"kde-i18n-sl-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      5M"
"kde-i18n-sr-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-i18n-sr@Latn-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-i18n-ss-3.5.10p3.tgz";"25-Feb-2016";"02:18";"    231K"
"kde-i18n-sv-3.5.10p3.tgz";"25-Feb-2016";"02:18";"     27M"
"kde-i18n-ta-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-te-3.5.10p3.tgz";"25-Feb-2016";"02:18";"    359K"
"kde-i18n-tg-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-th-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      1M"
"kde-i18n-tr-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-uk-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-i18n-uz-3.5.10p3.tgz";"25-Feb-2016";"02:18";"    607K"
"kde-i18n-uz@cyrillic-3.5.10p3.tgz";"25-Feb-2016";"02:18";"    655K"
"kde-i18n-vi-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      1M"
"kde-i18n-wa-3.5.10p3.tgz";"25-Feb-2016";"02:18";"    475K"
"kde-i18n-zh_CN-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-i18n-zh_TW-3.5.10p3.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-l10n-ar-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-l10n-bg-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-l10n-bs-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-l10n-ca-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     15M"
"kde-l10n-ca@valencia-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-l10n-cs-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      4M"
"kde-l10n-da-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     13M"
"kde-l10n-de-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     39M"
"kde-l10n-el-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      6M"
"kde-l10n-en_GB-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      4M"
"kde-l10n-es-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     25M"
"kde-l10n-et-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      9M"
"kde-l10n-eu-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-l10n-fa-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      1M"
"kde-l10n-fi-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-l10n-fr-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     47M"
"kde-l10n-ga-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-l10n-gl-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      5M"
"kde-l10n-he-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-l10n-hi-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      1M"
"kde-l10n-hr-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      1M"
"kde-l10n-hu-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      5M"
"kde-l10n-ia-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-l10n-id-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    616K"
"kde-l10n-is-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      1M"
"kde-l10n-it-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     12M"
"kde-l10n-ja-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-l10n-kk-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-l10n-km-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-l10n-ko-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-l10n-lt-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     13M"
"kde-l10n-lv-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-l10n-mr-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      1M"
"kde-l10n-nb-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      4M"
"kde-l10n-nds-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      4M"
"kde-l10n-nl-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     17M"
"kde-l10n-nn-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-l10n-pa-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-l10n-pl-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     22M"
"kde-l10n-pt-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      7M"
"kde-l10n-pt_BR-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     29M"
"kde-l10n-ro-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-l10n-ru-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     25M"
"kde-l10n-sk-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-l10n-sl-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      4M"
"kde-l10n-sr-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     15M"
"kde-l10n-sv-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     18M"
"kde-l10n-tr-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      4M"
"kde-l10n-ug-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-l10n-uk-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     30M"
"kde-l10n-wa-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"kde-l10n-zh_CN-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      4M"
"kde-l10n-zh_TW-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      3M"
"kde-runtime-4.14.3p9.tgz";"25-Feb-2016";"02:18";"     19M"
"kde-shared-data-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    100K"
"kde-wallpapers-4.14.3.tgz";"25-Feb-2016";"02:18";"     87M"
"kde-workspace-4.11.21p7.tgz";"25-Feb-2016";"02:18";"     43M"
"kde3-kopete-sounds-3.5.10p0.tgz";"25-Feb-2016";"02:18";"    158K"
"kde3-langlist-3.5.10p1.tgz";"25-Feb-2016";"02:18";"     78K"
"kde3-locale-3.5.10p2.tgz";"25-Feb-2016";"02:18";"    297K"
"kde3-locale-en_US-3.5.10p2.tgz";"25-Feb-2016";"02:18";2145
"kde4-4.14.3.tgz";"25-Feb-2016";"02:18";1693
"kde4-extras-4.14.3.tgz";"25-Feb-2016";"02:18";910
"kde4-kopete-sounds-4.14.3p3.tgz";"25-Feb-2016";"02:18";"    158K"
"kde4-langlist-4.14.10.tgz";"25-Feb-2016";"02:18";"    114K"
"kde4-libkdcraw-icons-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     25K"
"kde4-libkipi-icons-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     22K"
"kde4-locale-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    344K"
"kde4-locale-en_US-4.14.10.tgz";"25-Feb-2016";"02:18";2147
"kde4-minimal-4.14.3p2.tgz";"25-Feb-2016";"02:18";2312
"kdeaccessibility-3.5.10p19.tgz";"25-Feb-2016";"02:18";"      3M"
"kdeaddons-3.5.10p18.tgz";"25-Feb-2016";"02:18";"      3M"
"kdeadmin-3.5.10p14.tgz";"25-Feb-2016";"02:18";"      2M"
"kdeadmin-4.14.3.tgz";"25-Feb-2016";"02:18";700
"kdeartwork-3.5.10p18.tgz";"25-Feb-2016";"02:18";"     16M"
"kdeartwork-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    119M"
"kdebase-3.5.10p42.tgz";"25-Feb-2016";"02:18";"     30M"
"kdebindings-3.5.10p28.tgz";"25-Feb-2016";"02:18";"     19M"
"kdeedu-3.5.10p15.tgz";"25-Feb-2016";"02:18";"     30M"
"kdegames-3.5.10p16.tgz";"25-Feb-2016";"02:18";"     11M"
"kdegames-4.14.3.tgz";"25-Feb-2016";"02:18";1098
"kdegraphics-3.5.10p25.tgz";"25-Feb-2016";"02:18";"      8M"
"kdegraphics-mobipocket-4.14.3p0.tgz";"25-Feb-2016";"02:18";"    214K"
"kdegraphics-strigi-analyzer-4.14.3p0.tgz";"25-Feb-2016";"02:18";"    129K"
"kdegraphics-thumbnailers-4.14.3p0.tgz";"25-Feb-2016";"02:18";"    160K"
"kdelibs-3.5.10p38.tgz";"25-Feb-2016";"02:18";"     21M"
"kdelibs-4.14.10p4.tgz";"25-Feb-2016";"02:18";"     28M"
"kdemultimedia-3.5.10p19.tgz";"25-Feb-2016";"02:18";"     10M"
"kdenetwork-3.5.10p15.tgz";"25-Feb-2016";"02:18";"     13M"
"kdenetwork-4.14.3.tgz";"25-Feb-2016";"02:18";775
"kdenetwork-filesharing-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     93K"
"kdenetwork-strigi-analyzers-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     87K"
"kdenlive-0.9.10.tgz";"25-Feb-2016";"02:18";"      7M"
"kdepim-3.5.10p22.tgz";"25-Feb-2016";"02:18";"     20M"
"kdepim-4.14.10p1.tgz";"25-Feb-2016";"02:18";"     41M"
"kdepim-runtime-4.14.10.tgz";"25-Feb-2016";"02:18";"      9M"
"kdepimlibs-4.14.10.tgz";"25-Feb-2016";"02:18";"     12M"
"kdeplasma-addons-4.14.3p2.tgz";"25-Feb-2016";"02:18";"     12M"
"kdesamba-3.5.10p17.tgz";"25-Feb-2016";"02:18";"     39K"
"kdesdk-3.5.10p22.tgz";"25-Feb-2016";"02:18";"      7M"
"kdesdk-4.14.3.tgz";"25-Feb-2016";"02:18";908
"kdesdk-kioslaves-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    687K"
"kdesdk-strigi-analyzers-4.14.3p0.tgz";"25-Feb-2016";"02:18";"    271K"
"kdesdk-thumbnailers-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     75K"
"kdesvn-3.5.10p23.tgz";"25-Feb-2016";"02:18";"    180K"
"kdetoys-3.5.10p13.tgz";"25-Feb-2016";"02:18";"      3M"
"kdetoys-4.14.3.tgz";"25-Feb-2016";"02:18";713
"kdeutils-3.5.10p18.tgz";"25-Feb-2016";"02:18";"      4M"
"kdevelop-4.7.1.tgz";"25-Feb-2016";"02:18";"      9M"
"kdevplatform-1.7.1.tgz";"25-Feb-2016";"02:18";"     11M"
"kdewebdev-3.5.10p15.tgz";"25-Feb-2016";"02:18";"      7M"
"kdewebdev-4.14.3p3.tgz";"25-Feb-2016";"02:18";"      3M"
"kdf-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    549K"
"kdiamond-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      4M"
"kdiff3-0.9.97.tgz";"25-Feb-2016";"02:18";"   1020K"
"kdirstat-2.4.0p12.tgz";"25-Feb-2016";"02:18";"    258K"
"kea-1.0.0.tgz";"25-Feb-2016";"02:18";"      4M"
"kedpm-0.4.0p8.tgz";"25-Feb-2016";"02:18";"     81K"
"keepassx-2.0.tgz";"25-Feb-2016";"02:18";"    762K"
"kermit-9.0.302.tgz";"25-Feb-2016";"02:18";"      2M"
"keybinder-0.3.0p4.tgz";"25-Feb-2016";"02:18";"     17K"
"keybinder3-0.3.0p3.tgz";"25-Feb-2016";"02:18";"     18K"
"keychain-2.8.2.tgz";"25-Feb-2016";"02:18";"     21K"
"keynav-0.20101014.3067p1v0.tgz";"25-Feb-2016";"02:18";"     18K"
"kfilemetadata-4.14.3p0.tgz";"25-Feb-2016";"02:18";"    747K"
"kfloppy-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    144K"
"kfourinline-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    909K"
"kgamma-4.14.3p0.tgz";"25-Feb-2016";"02:18";"    122K"
"kgeography-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      6M"
"kget-4.14.3p2.tgz";"25-Feb-2016";"02:18";"      4M"
"kgoldrunner-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"kgpg-4.14.3p2.tgz";"25-Feb-2016";"02:18";"      1M"
"kguitar-0.5.1p9.tgz";"25-Feb-2016";"02:18";"      1M"
"khangman-4.14.3p2.tgz";"25-Feb-2016";"02:18";"      1M"
"kibana-4.3.1.tgz";"25-Feb-2016";"02:18";"     21M"
"kicad-20100505p5.tgz";"25-Feb-2016";"02:18";"      6M"
"kicad-docs-20100505p1.tgz";"25-Feb-2016";"02:18";"     68M"
"kicad-library-20110429.tgz";"25-Feb-2016";"02:18";"     22M"
"kig-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"kigo-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      1M"
"kile-2.0p10.tgz";"25-Feb-2016";"02:18";"      5M"
"kile-2.1.3p3.tgz";"25-Feb-2016";"02:18";"      7M"
"killbots-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      1M"
"kimono-4.14.3p0.tgz";"25-Feb-2016";"02:18";"      1M"
"kipi-kcal-plugin-0.1.6p9.tgz";"25-Feb-2016";"02:18";"     69K"
"kipi-plugins-0.1.6p12.tgz";"25-Feb-2016";"02:18";"      9M"
"kipi-plugins-4.13.0p0.tgz";"25-Feb-2016";"02:18";"     17M"
"kiriki-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    216K"
"kismet-200805R1p5.tgz";"25-Feb-2016";"02:18";"    788K"
"kismet-gpsmap-200805R1p6.tgz";"25-Feb-2016";"02:18";"    147K"
"kissd-0.3p0.tgz";"25-Feb-2016";"02:18";9310
"kiten-4.14.3p2.tgz";"25-Feb-2016";"02:18";"     15M"
"kjumpingcube-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    278K"
"klavaro-1.5.0p5.tgz";"25-Feb-2016";"02:18";"    539K"
"klaxon-1.5.tgz";"25-Feb-2016";"02:18";5427
"klettres-4.14.3p2.tgz";"25-Feb-2016";"02:18";"      3M"
"klickety-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    936K"
"klines-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      1M"
"klogic-1.6p12.tgz";"25-Feb-2016";"02:18";"    297K"
"kmag-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    186K"
"kmahjongg-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      1M"
"kmines-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    711K"
"kmix-4.14.3p2.tgz";"25-Feb-2016";"02:18";"      1M"
"kmousetool-4.14.3p2.tgz";"25-Feb-2016";"02:18";"    121K"
"kmouth-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    522K"
"kmplayer-0.6.4p13.tgz";"25-Feb-2016";"02:18";"    132K"
"kmplot-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      1M"
"kmymoney-4.7.2.tgz";"25-Feb-2016";"02:18";"     29M"
"knavalbattle-4.14.3p2.tgz";"25-Feb-2016";"02:18";"      1M"
"knetwalk-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    866K"
"knot-1.6.6.tgz";"25-Feb-2016";"02:18";"    982K"
"knutclient-0.6.0p10.tgz";"25-Feb-2016";"02:18";"    417K"
"ko-Wnn-4.2p6.tgz";"25-Feb-2016";"02:18";"    641K"
"ko-Wnndict-4.2p0.tgz";"25-Feb-2016";"02:18";"    522K"
"ko-baekmuk-fonts-2.0p5.tgz";"25-Feb-2016";"02:18";"      8M"
"ko-baekmuk-ttf-2.2p3.tgz";"25-Feb-2016";"02:18";"     11M"
"ko-hanterm-fonts-3.1p1.tgz";"25-Feb-2016";"02:18";"      1M"
"kobodeluxe-0.5.1p1-harder.tgz";"25-Feb-2016";"02:18";"      1M"
"kobodeluxe-0.5.1p1.tgz";"25-Feb-2016";"02:18";"      1M"
"kolf-4.14.3p2.tgz";"25-Feb-2016";"02:18";"      1M"
"kollision-4.14.3p2.tgz";"25-Feb-2016";"02:18";"    306K"
"kolourpaint-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"komi-1.04p2.tgz";"25-Feb-2016";"02:18";"    921K"
"kompare-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    814K"
"konquest-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    545K"
"konsole-4.14.3p0.tgz";"25-Feb-2016";"02:18";"    948K"
"konversation-1.5p2.tgz";"25-Feb-2016";"02:18";"      6M"
"kopete-4.14.3p3.tgz";"25-Feb-2016";"02:18";"     14M"
"korundum-4.14.3p3.tgz";"25-Feb-2016";"02:18";"      1M"
"kountdown-0.4.1p11.tgz";"25-Feb-2016";"02:18";"     49K"
"kpat-4.14.3p2.tgz";"25-Feb-2016";"02:18";"      3M"
"kpcli-3.0p0.tgz";"25-Feb-2016";"02:18";"     49K"
"kphotoalbum-3.0p17.tgz";"25-Feb-2016";"02:18";"     13M"
"kpovmodeller-3.5.10p13.tgz";"25-Feb-2016";"02:18";"      2M"
"kppp-4.14.3p2.tgz";"25-Feb-2016";"02:18";"      1M"
"kqoauth-0.97.tgz";"25-Feb-2016";"02:18";"     80K"
"kqtquickcharts-4.14.3p0.tgz";"25-Feb-2016";"02:18";"    115K"
"krdc-4.14.3p2.tgz";"25-Feb-2016";"02:18";"    945K"
"kremotecontrol-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"krename-3.0.14p14.tgz";"25-Feb-2016";"02:18";"      3M"
"krename-4.0.9p2.tgz";"25-Feb-2016";"02:18";"      3M"
"kreversi-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    489K"
"krfb-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    761K"
"kross-interpreters-4.14.3p2.tgz";"25-Feb-2016";"02:18";"    366K"
"kross-java-4.14.3p0.tgz";"25-Feb-2016";"02:18";"    109K"
"kruler-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    189K"
"krusader-1.80.0p15.tgz";"25-Feb-2016";"02:18";"      3M"
"ksane-3.5.10p19.tgz";"25-Feb-2016";"02:18";"    333K"
"ksaneplugin-4.14.3p0.tgz";"25-Feb-2016";"02:18";"     75K"
"kscd-4.14.3p2.tgz";"25-Feb-2016";"02:18";"    320K"
"ksh93-20120801p0.tgz";"25-Feb-2016";"02:18";"      2M"
"kshisen-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    217K"
"ksirk-4.14.3p2.tgz";"25-Feb-2016";"02:18";"      4M"
"kslide-1.0.1p0.tgz";"25-Feb-2016";"02:18";"    667K"
"ksnakeduel-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    470K"
"ksnapshot-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    493K"
"kspaceduel-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    307K"
"ksquares-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    178K"
"kst-1.2.1p13.tgz";"25-Feb-2016";"02:18";"      9M"
"kstars-4.14.3p1.tgz";"25-Feb-2016";"02:18";"     15M"
"ksudoku-4.14.3p1.tgz";"25-Feb-2016";"02:18";"      2M"
"ksystemlog-4.14.3p0.tgz";"25-Feb-2016";"02:18";"    697K"
"kteatime-4.14.3p1.tgz";"25-Feb-2016";"02:18";"    188K"
